number,chromadb_id,name,product_id,category,manufacturer,material,product_type,thermal_conductivity,fire_classification,density,is_active,extraction_date
73,rockwool_product_95,ROCKWOOL Airrock HD ,95,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
74,rockwool_product_96,ROCKWOOL A bazaltkő természetes erejével,96,Építőipari szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
75,rockwool_product_97,ROCKWOOL Airrock HD FB1,97,Válaszfal szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
76,rockwool_product_99,ROCKWOOL Airrock LD,99,Válaszfal szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
77,rockwool_product_101,ROCKWOOL Airrock ND,101,Válaszfal szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
78,rockwool_product_103,ROCKWOOL Ceilingrock,103,Magastető és tetőtér,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
79,rockwool_product_104,ROCKWOOL Conlit Ductrock - Conlit Plus,104,Tűzvédelem,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
80,rockwool_product_105,ROCKWOOL Conlit Steel Protect Board ALU,105,Tűzvédelem,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
81,rockwool_product_108,ROCKWOOL Családi házak hőszigetelése kőzetgyapo,108,Építőipari szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
82,rockwool_product_110,ROCKWOOL Deltarock,110,Válaszfal szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
83,rockwool_product_112,ROCKWOOL Firerock,112,Tűzvédelem,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
84,rockwool_product_113,ROCKWOOL Fixrock FB1,113,Homlokzati hőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
85,rockwool_product_114,ROCKWOOL Fixrock,114,Homlokzati hőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
86,rockwool_product_115,ROCKWOOL Frontrock S,115,Homlokzati hőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
